dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
breast_cancer,baseline,0.0,logistic_regression,70,0.568295739348371,0.36164388243335616
breast_cancer,baseline,0.0,logistic_regression,50,0.7140350877192985,0.7016558441558441
breast_cancer,baseline,0.0,logistic_regression,88,0.27963659147869674,-0.37357779244349115
breast_cancer,baseline,0.0,logistic_regression,77,0.7704887218045112,0.5613841421736159
breast_cancer,baseline,0.0,logistic_regression,7,0.667982456140351,0.4952939166097061
breast_cancer,baseline,0.0,logistic_regression,8,0.8561403508771931,0.6006015037593985
breast_cancer,baseline,0.0,logistic_regression,19,0.654887218045113,0.41293233082706776
breast_cancer,baseline,0.0,logistic_regression,92,0.77468671679198,0.21349282296650718
breast_cancer,baseline,0.0,logistic_regression,78,0.5260025062656641,0.2811534518113466
breast_cancer,baseline,0.0,logistic_regression,64,0.6283208020050125,0.2630963773069036
breast_cancer,baseline,0.0,logistic_regression,13,0.7605263157894738,0.2969753930280246
breast_cancer,baseline,0.0,logistic_regression,18,0.5778195488721805,0.39860218728639785
breast_cancer,baseline,0.0,logistic_regression,93,0.7962406015037593,0.5623650034176351
breast_cancer,baseline,0.0,logistic_regression,51,0.6212406015037594,0.6015447710184553
breast_cancer,baseline,0.0,logistic_regression,86,0.3594193817878028,-0.22458817498291178
breast_cancer,baseline,0.0,logistic_regression,85,0.5618421052631579,0.3688140806561859
breast_cancer,baseline,0.0,logistic_regression,39,0.6382832080200501,0.5453007518796993
breast_cancer,baseline,0.0,logistic_regression,71,0.4179197994987469,0.42885338345864665
breast_cancer,baseline,0.0,logistic_regression,44,0.9070175438596491,0.7868421052631579
breast_cancer,baseline,0.0,logistic_regression,38,0.650877192982456,0.751455912508544
breast_cancer,baseline,0.0,logistic_regression,113,0.430639097744361,0.1955075187969925
breast_cancer,baseline,0.0,logistic_regression,61,0.4975563909774437,0.025661312371838687
breast_cancer,baseline,0.0,logistic_regression,46,0.5763157894736843,0.3553913192071087
breast_cancer,baseline,0.0,logistic_regression,52,0.649310776942356,0.47785714285714287
breast_cancer,baseline,0.0,logistic_regression,66,0.3387844611528822,-0.07750542107620147
breast_cancer,baseline,0.0,logistic_regression,100,0.8523809523809525,0.656930963773069
breast_cancer,baseline,0.0,logistic_regression,98,0.6421679197994988,0.45176008202324003
breast_cancer,baseline,0.0,logistic_regression,56,0.5003341687552214,0.2260885167464115
breast_cancer,baseline,0.0,logistic_regression,90,0.5177944862155388,0.5986978810663021
breast_cancer,baseline,0.0,logistic_regression,74,0.6255639097744361,0.7423513328776488
