dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
breast_cancer,imbalance,0.9,logistic_regression,75,0.47326649958228906,0.06324504442925495
breast_cancer,imbalance,0.9,logistic_regression,32,0.5595864661654136,0.3296719070403281
breast_cancer,imbalance,0.9,logistic_regression,54,0.4136382623224729,-0.04616028708133973
breast_cancer,imbalance,0.9,logistic_regression,48,0.3123433583959899,-0.009210526315789473
breast_cancer,imbalance,0.9,logistic_regression,4,0.35699665831244787,-0.10718958446272421
breast_cancer,imbalance,0.9,logistic_regression,5,0.5687969924812031,0.3655792891319208
breast_cancer,imbalance,0.9,logistic_regression,13,0.34210526315789475,0.12776828434723173
breast_cancer,imbalance,0.9,logistic_regression,77,0.6005012531328321,0.08715311004784691
breast_cancer,imbalance,0.9,logistic_regression,51,0.6208020050125314,0.2682382091592618
breast_cancer,imbalance,0.9,logistic_regression,57,0.48439849624060155,0.23987354750512646
breast_cancer,imbalance,0.9,logistic_regression,8,0.43594402673350047,0.050184552289815464
breast_cancer,imbalance,0.9,logistic_regression,11,0.38017961570593134,-0.2618814080656186
breast_cancer,imbalance,0.9,logistic_regression,60,0.5620718462823725,0.35308954203691045
breast_cancer,imbalance,0.9,logistic_regression,66,0.47268170426065165,0.6039593301435406
breast_cancer,imbalance,0.9,logistic_regression,68,0.5067669172932331,0.6143882433356118
breast_cancer,imbalance,0.9,logistic_regression,58,0.518609022556391,0.213257006151743
breast_cancer,imbalance,0.9,logistic_regression,26,0.44020467836257315,-0.050765550239234444
breast_cancer,imbalance,0.9,logistic_regression,46,0.6020676691729323,0.317406015037594
breast_cancer,imbalance,0.9,logistic_regression,30,0.4170634920634921,-0.07130382775119616
breast_cancer,imbalance,0.9,logistic_regression,23,0.43742690058479533,0.12773581681476417
breast_cancer,imbalance,0.9,logistic_regression,79,0.32955304928989143,-0.26035372522214634
breast_cancer,imbalance,0.9,logistic_regression,43,0.4161027568922306,0.2629511278195489
breast_cancer,imbalance,0.9,logistic_regression,31,0.5614035087719299,0.4243233082706767
breast_cancer,imbalance,0.9,logistic_regression,35,0.4085213032581454,0.266836978810663
breast_cancer,imbalance,0.9,logistic_regression,40,0.4961988304093567,0.06487354750512646
breast_cancer,imbalance,0.9,logistic_regression,73,0.21725146198830408,-0.38660611167416975
breast_cancer,imbalance,0.9,logistic_regression,64,0.3969924812030075,0.024291665684587647
breast_cancer,imbalance,0.9,logistic_regression,34,0.4295530492898914,0.01575187969924812
breast_cancer,imbalance,0.9,logistic_regression,56,0.24686716791979946,-0.08356459330143541
breast_cancer,imbalance,0.9,logistic_regression,63,0.4113617376775271,0.11647470950102529
