dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
breast_cancer,noise,0.05,logistic_regression,70,0.5976190476190476,0.4847966507177034
breast_cancer,noise,0.05,logistic_regression,50,0.7361528822055139,0.7269224196855776
breast_cancer,noise,0.05,logistic_regression,88,0.34273182957393483,-0.05235333631885357
breast_cancer,noise,0.05,logistic_regression,77,0.6115288220551379,0.6247846889952153
breast_cancer,noise,0.05,logistic_regression,7,0.6531328320802006,0.47336295283663715
breast_cancer,noise,0.05,logistic_regression,8,0.7528822055137847,0.5654408749145591
breast_cancer,noise,0.05,logistic_regression,19,0.7591478696741855,0.6558099794941901
breast_cancer,noise,0.05,logistic_regression,92,0.692731829573935,0.5160423786739576
breast_cancer,noise,0.05,logistic_regression,78,0.6449874686716792,0.38248291182501715
breast_cancer,noise,0.05,logistic_regression,64,0.686967418546366,0.36184552289815447
breast_cancer,noise,0.05,logistic_regression,13,0.7353383458646618,0.5335543403964458
breast_cancer,noise,0.05,logistic_regression,18,0.6729323308270678,0.5564456596035544
breast_cancer,noise,0.05,logistic_regression,93,0.9666666666666668,0.6318796992481203
breast_cancer,noise,0.05,logistic_regression,51,0.5800751879699249,0.6028691045796309
breast_cancer,noise,0.05,logistic_regression,86,0.393609022556391,0.0015957409196973625
breast_cancer,noise,0.05,logistic_regression,85,0.5794486215538848,0.3613858509911142
breast_cancer,noise,0.05,logistic_regression,39,0.7203007518796994,0.48958988380041013
breast_cancer,noise,0.05,logistic_regression,71,0.5824561403508772,0.769542036910458
breast_cancer,noise,0.05,logistic_regression,44,0.8824561403508772,0.7794736842105263
breast_cancer,noise,0.05,logistic_regression,38,0.6018796992481203,0.6646719070403281
breast_cancer,noise,0.05,logistic_regression,113,0.4015246449456976,0.09587491455912507
breast_cancer,noise,0.05,logistic_regression,61,0.6285087719298247,0.2672522214627478
breast_cancer,noise,0.05,logistic_regression,46,0.5814536340852131,0.41672077922077927
breast_cancer,noise,0.05,logistic_regression,52,0.7117794486215538,0.5867737525632263
breast_cancer,noise,0.05,logistic_regression,66,0.3540100250626566,-0.17039473684210527
breast_cancer,noise,0.05,logistic_regression,100,0.9040100250626566,0.7234313055365689
breast_cancer,noise,0.05,logistic_regression,98,0.6148496240601504,0.5280844155844157
breast_cancer,noise,0.05,logistic_regression,56,0.6518796992481205,0.4673479152426521
breast_cancer,noise,0.05,logistic_regression,90,0.5120300751879701,0.5592378673957623
breast_cancer,noise,0.05,logistic_regression,74,0.8042606516290726,0.7471496924128503
