dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
breast_cancer,noise,0.05,mlp,70,0.49442355889724315,0.36594326725905674
breast_cancer,noise,0.05,mlp,50,0.7278822055137847,0.7202016404647983
breast_cancer,noise,0.05,mlp,88,0.26643692564745197,-0.3577728804770547
breast_cancer,noise,0.05,mlp,77,0.5836466165413534,0.3742532467532469
breast_cancer,noise,0.05,mlp,7,0.6217418546365915,0.6531305536568695
breast_cancer,noise,0.05,mlp,8,0.6962406015037595,0.5942788790157212
breast_cancer,noise,0.05,mlp,19,0.6441729323308272,0.5738311688311689
breast_cancer,noise,0.05,mlp,92,0.5648496240601505,0.3742942583732058
breast_cancer,noise,0.05,mlp,78,0.4455513784461153,0.2934483937115516
breast_cancer,noise,0.05,mlp,64,0.5138471177944863,0.44888072453861927
breast_cancer,noise,0.05,mlp,13,0.5655388471177946,0.41996069719753937
breast_cancer,noise,0.05,mlp,18,0.5142857142857143,0.4356801093643199
breast_cancer,noise,0.05,mlp,93,0.5939223057644111,0.6088106630211894
breast_cancer,noise,0.05,mlp,51,0.5148496240601504,0.5269463431305538
breast_cancer,noise,0.05,mlp,86,0.47882205513784465,0.13613465481886533
breast_cancer,noise,0.05,mlp,85,0.6884711779448623,0.2431989063568011
breast_cancer,noise,0.05,mlp,39,0.687280701754386,0.6138619275461381
breast_cancer,noise,0.05,mlp,71,0.5984335839598998,0.625457963089542
breast_cancer,noise,0.05,mlp,44,0.9338345864661654,0.47987696514012307
breast_cancer,noise,0.05,mlp,38,0.6795112781954888,0.5451179084073822
breast_cancer,noise,0.05,mlp,113,0.3871971595655807,0.1234090909090909
breast_cancer,noise,0.05,mlp,61,0.5103174603174603,0.02105434039644567
breast_cancer,noise,0.05,mlp,46,0.4918755221386801,0.2402529049897471
breast_cancer,noise,0.05,mlp,52,0.7095238095238098,0.624935064935065
breast_cancer,noise,0.05,mlp,66,0.3195071010860484,-0.2233720861715417
breast_cancer,noise,0.05,mlp,100,0.6567042606516292,0.6051657552973343
breast_cancer,noise,0.05,mlp,98,0.5225563909774436,0.5329374572795625
breast_cancer,noise,0.05,mlp,56,0.49962406015037597,0.36565789473684207
breast_cancer,noise,0.05,mlp,90,0.5568922305764412,0.6780109364319892
breast_cancer,noise,0.05,mlp,74,0.6833333333333333,0.6696753246753246
