dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
breast_cancer,noise,0.05,random_forest,70,0.880701754385965,0.8405263157894737
breast_cancer,noise,0.05,random_forest,50,0.8210526315789475,0.8876691729323306
breast_cancer,noise,0.05,random_forest,88,0.667669172932331,0.8327477785372522
breast_cancer,noise,0.05,random_forest,77,0.5904761904761906,0.6814952153110049
breast_cancer,noise,0.05,random_forest,7,1.0,0.9078947368421053
breast_cancer,noise,0.05,random_forest,8,0.8561403508771931,0.9497744360902256
breast_cancer,noise,0.05,random_forest,19,0.8087719298245615,0.8176691729323309
breast_cancer,noise,0.05,random_forest,92,1.0,0.9305263157894738
breast_cancer,noise,0.05,random_forest,78,0.7666666666666666,0.90406015037594
breast_cancer,noise,0.05,random_forest,64,1.0,0.9542105263157895
breast_cancer,noise,0.05,random_forest,13,1.0,0.9326315789473684
breast_cancer,noise,0.05,random_forest,18,0.686967418546366,0.8435201640464799
breast_cancer,noise,0.05,random_forest,93,0.792982456140351,0.9257142857142858
breast_cancer,noise,0.05,random_forest,51,0.49193817878028406,0.2893198906356801
breast_cancer,noise,0.05,random_forest,86,0.5750000000000001,0.5967190704032811
breast_cancer,noise,0.05,random_forest,85,0.7794486215538847,0.8557347915242653
breast_cancer,noise,0.05,random_forest,39,1.0,0.941578947368421
breast_cancer,noise,0.05,random_forest,71,0.8476190476190476,0.8732262474367737
breast_cancer,noise,0.05,random_forest,44,0.6825814536340853,0.7323069036226929
breast_cancer,noise,0.05,random_forest,38,0.43247702589807857,0.21516404647983597
breast_cancer,noise,0.05,random_forest,113,0.7192982456140352,0.8784210526315791
breast_cancer,noise,0.05,random_forest,61,0.8280701754385965,0.8905263157894736
breast_cancer,noise,0.05,random_forest,46,0.8087719298245615,0.816015037593985
breast_cancer,noise,0.05,random_forest,52,0.8403508771929825,0.8166165413533834
breast_cancer,noise,0.05,random_forest,66,0.34569757727652467,-0.030008838711198065
breast_cancer,noise,0.05,random_forest,100,0.868421052631579,0.9387969924812029
breast_cancer,noise,0.05,random_forest,98,1.0,0.9268421052631577
breast_cancer,noise,0.05,random_forest,56,0.6907268170426065,0.8124606971975393
breast_cancer,noise,0.05,random_forest,90,0.4484335839598997,0.1641267942583732
breast_cancer,noise,0.05,random_forest,74,0.8087719298245615,0.936766917293233
