dataset_name,variation_type,variation_value,model_name,mean_jaccard,std_jaccard,mean_spearman,std_spearman,test_accuracy,test_f1,test_roc_auc,n_instances,n_lime_runs,top_k
adult_income,imbalance,0.7,logistic_regression,0.9093065998329156,0.07920263689448746,0.9116274777853725,0.08935169764503818,0.8530044016787798,0.6622765757290687,0.9076094883305653,30,20,5
adult_income,imbalance,0.9,logistic_regression,0.9242105263157896,0.08660808569494208,0.7340250626566415,0.09173594873435047,0.9214000242218724,0.4640792733278282,0.9019970003287713,30,20,5
adult_income,imbalance,0.7,random_forest,0.8979866332497912,0.06960748610439661,0.8830583276372751,0.0530109423600459,0.8574060804585935,0.6798437140887152,0.9078642415267509,30,20,5
adult_income,imbalance,0.9,random_forest,0.7391729323308271,0.0490763613832933,0.5496807928913192,0.0522915972137216,0.9253966331597433,0.5326251896813353,0.8971953595353279,30,20,5
adult_income,imbalance,0.7,mlp,0.7025522138680035,0.05412936626368749,0.4835499544315334,0.08585296502300492,0.8283345275872659,0.6331218551739226,0.8726591744131554,30,20,5
adult_income,imbalance,0.9,mlp,0.5550306321358954,0.05276896409884023,0.44809136477557543,0.08527842189925308,0.8901538088894272,0.46990064289888955,0.857752257003333,30,20,5
breast_cancer,imbalance,0.7,logistic_regression,0.6604887218045115,0.11080792178279786,0.5551711095921622,0.18525654246551884,0.9705882352941176,0.9793103448275862,0.9972739663789187,30,20,5
breast_cancer,imbalance,0.9,logistic_regression,0.44730854915065443,0.10215494421875461,0.12200058335493906,0.23768854603624762,0.975,0.9863013698630136,0.9791666666666666,30,20,5
breast_cancer,imbalance,0.7,random_forest,0.7488707880813144,0.1705539098505936,0.6611883686488949,0.24819578404584183,0.9705882352941176,0.9793103448275862,0.9879600181735575,30,20,5
breast_cancer,imbalance,0.9,random_forest,0.6812698412698415,0.13173291539144752,0.7173523581681477,0.12615202337182943,0.975,0.9863013698630136,0.907986111111111,30,20,5
breast_cancer,imbalance,0.7,mlp,0.636598440545809,0.11637344105866479,0.5645829247884602,0.21028011367437513,0.9705882352941176,0.9793103448275862,0.9963652885052249,30,20,5
breast_cancer,imbalance,0.9,mlp,0.42421191868560293,0.11837252808156835,0.07906417493577206,0.28471116290231613,0.975,0.9863013698630136,0.9895833333333334,30,20,5
